algorithm,dataset_type,size,rank_label,k,trial_count,median_time_seconds,mean_time_seconds,standard_deviation_seconds,minimum_time_seconds,maximum_time_seconds,comparisons,swaps,partition_calls,pivot_selections,recursive_calls,maximum_depth,groups_processed,small_group_sorts,status,error_message
Randomized Quickselect,random,5000,minimum,1,5,0.0013958330018795095,0.0013928915999713355,3.2849785963750913e-05,0.001357124994683545,0.0014469580055447295,13668,7506,10,10,11,11,0,0,completed,
Randomized Quickselect,random,5000,median,2500,5,0.0021509590005734935,0.0021654334006598218,2.9697974622909915e-05,0.002147374994819984,0.002224500000011176,20550,12722,10,10,10,10,0,0,completed,
Randomized Quickselect,random,5000,p90,4500,5,0.001383916001941543,0.001386783599446062,1.5106782667820623e-05,0.00136920899967663,0.0014147920010145754,13358,5523,15,15,15,15,0,0,completed,
Randomized Quickselect,random,7000,minimum,1,5,0.0023959169993759133,0.0024081249997834676,5.7462262621792904e-05,0.002348916998016648,0.0025019579989020713,23153,13805,9,9,9,9,0,0,completed,
Randomized Quickselect,random,7000,median,3500,5,0.0030463340008282103,0.003063983602623921,4.170450544586682e-05,0.00302137499966193,0.0031157090052147396,34856,17802,18,18,18,18,0,0,completed,
Randomized Quickselect,random,7000,p90,6300,5,0.0030691670035594143,0.0030640336000942623,4.1084861262189376e-05,0.003002083998580929,0.003111541998805478,30449,17418,12,12,13,13,0,0,completed,
Randomized Quickselect,random,10000,minimum,1,5,0.0024442909998469986,0.0024378913993132302,5.3218628446309225e-05,0.0023751249973429367,0.0025229579987353645,24763,13101,11,11,11,11,0,0,completed,
Randomized Quickselect,random,10000,median,5000,5,0.0034267500013811514,0.003449791797902435,5.596236997086962e-05,0.003409500000998378,0.003560874996765051,35750,18666,12,12,13,13,0,0,completed,
Randomized Quickselect,random,10000,p90,9000,5,0.004760084004374221,0.0047748584009241314,4.862992418474702e-05,0.004733165995276067,0.00486970799829578,54614,29266,26,26,27,27,0,0,completed,
Randomized Quickselect,sorted,100,minimum,1,5,2.8999995265621692e-05,2.9033000464551152e-05,1.7782756287612035e-07,2.8791000659111887e-05,2.9292001272551715e-05,221,92,4,4,5,5,0,0,completed,
Randomized Quickselect,sorted,100,median,50,5,5.1875002100132406e-05,5.193320394027978e-05,1.0413174253586879e-07,5.183300527278334e-05,5.212500400375575e-05,517,128,7,7,7,7,0,0,completed,
Randomized Quickselect,sorted,100,p90,90,5,3.479099541436881e-05,3.476659912848845e-05,9.688145927202839e-08,3.462500171735883e-05,3.4916003642138094e-05,244,46,8,8,8,8,0,0,completed,
Randomized Quickselect,sorted,1000,minimum,1,5,0.0002349580026930198,0.00023519980022683739,1.5701465744237955e-06,0.0002334160017198883,0.00023799999326001853,2569,983,9,9,9,9,0,0,completed,
Randomized Quickselect,sorted,1000,median,500,5,0.00043320799886714667,0.0004339500010246411,1.998693645268611e-06,0.0004318749997764826,0.00043670900049619377,5267,1892,17,17,17,17,0,0,completed,
Randomized Quickselect,sorted,1000,p90,900,5,0.0003076670036534779,0.0003084252020926215,1.2300911971787759e-06,0.0003070840029977262,0.00031029200181365013,3519,1188,10,10,10,10,0,0,completed,
Randomized Quickselect,sorted,3500,minimum,1,5,0.0007565420019091107,0.0007613915993715636,1.0357059621162785e-05,0.0007547919958597049,0.000782041999627836,8450,3483,8,8,9,9,0,0,completed,
Randomized Quickselect,sorted,3500,median,1750,5,0.0008818329952191561,0.000884166598552838,6.73990419000683e-06,0.0008796670008450747,0.0008975000018835999,9623,2684,20,20,20,20,0,0,completed,
Randomized Quickselect,sorted,3500,p90,3150,5,0.0013998340000398457,0.0013995834029628894,1.1944892868461913e-06,0.0013974590037832968,0.001401041001372505,16953,4839,13,13,14,14,0,0,completed,
Randomized Quickselect,sorted,5000,minimum,1,5,0.0010370000018156134,0.0010433079994982108,1.4382849160589796e-05,0.001033290995110292,0.0010719159981817938,11632,4992,4,4,4,4,0,0,completed,
Randomized Quickselect,sorted,5000,median,2500,5,0.0026468340001883917,0.00265042499959236,1.1127280329288429e-05,0.002640750004502479,0.0026721249960246496,32660,8064,21,21,22,22,0,0,completed,
Randomized Quickselect,sorted,5000,p90,4500,5,0.0009360420008306392,0.0009399334012414329,7.887539256894114e-06,0.0009358750030514784,0.0009557080047670752,9190,1928,11,11,11,11,0,0,completed,
Randomized Quickselect,sorted,7000,minimum,1,5,0.0022067079989938065,0.002212433198292274,1.0146359417330773e-05,0.0022048749960958958,0.0022317910043057054,25840,6974,13,13,14,14,0,0,completed,
Randomized Quickselect,sorted,7000,median,3500,5,0.0021937499986961484,0.0021993163987644947,1.255442744875345e-05,0.0021905829999013804,0.0022242909981287085,26499,10040,16,16,16,16,0,0,completed,
Randomized Quickselect,sorted,7000,p90,6300,5,0.0032929160006460734,0.0032993747998261826,1.0152353668169109e-05,0.003290000000561122,0.0033170000024256296,42935,17708,13,13,14,14,0,0,completed,
